id,name,title,organization,org_id,notes,num_resources,license,created,updated,url
74b7a494-430e-45b5-bc5f-7f5212614877,laporan-pelaksanaan-fasilitasi-hak-kekayaan-intelektual,Laporan Pelaksanaan Fasilitasi Hak Kekayaan Intelektual,Badan Perencanaan Pembangunan Daerah Kabupaten Serang,79253ca9-709b-411e-8170-fdc8fc2c428e,Jumlah Laporan Pelaksanaan Fasilitasi Hak Kekayaan Intelektual ,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-pelaksanaan-fasilitasi-hak-kekayaan-intelektual
47b70517-c78c-415b-9324-3bc0076b29e4,penduduk-yang-mendapatkan-pelayanan-penyelesaian-masalah-pendaftaran-penduduk,penduduk yang mendapatkan pelayanan penyelesaian masalah pendaftaran penduduk,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah penduduk yang mendapatkan pelayanan penyelesaian masalah pendaftaran penduduk,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penduduk-yang-mendapatkan-pelayanan-penyelesaian-masalah-pendaftaran-penduduk
56560b1e-d3c1-4eec-a58d-699f759fb30f,penduduk-mendapatkan-pelayanan-kesehatan-tradisional-akupuntur-asuhan-mandiri,Penduduk mendapatkan Pelayanan Kesehatan Tradisional Akupuntur Asuhan Mandiri dan Tradisional Lainnya,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah Penduduk mendapatkan Pelayanan Kesehatan Tradisional Akupuntur Asuhan Mandiri dan Tradisional Lainnya,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penduduk-mendapatkan-pelayanan-kesehatan-tradisional-akupuntur-asuhan-mandiri
45b9a324-9f77-4ce7-a49c-b2416e789c71,laporan-monitoring-dan-evaluasi,Laporan Monitoring dan Evaluasi,Badan Perencanaan Pembangunan Daerah Kabupaten Serang,79253ca9-709b-411e-8170-fdc8fc2c428e,Jumlah Laporan Monitoring dan Evaluasi,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-monitoring-dan-evaluasi
2bd905d8-f9e7-4c74-b971-d6f6e2d3decf,pemangku-kepentingan-dan-masyarakat-yang-menerima-komunikasi,Pemangku Kepentingan dan Masyarakat yang menerima Komunikasi Informasi dan Edukasi kepada terkait Pencatatan Sipil,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Pemangku Kepentingan dan Masyarakat yang menerima Komunikasi Informasi dan Edukasi kepada terkait Pencatatan Sipil,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/pemangku-kepentingan-dan-masyarakat-yang-menerima-komunikasi
ef26a99f-6c00-44a4-aa29-e105bf8484b3,laporan-kinerja,Laporan Kinerja,Badan Perencanaan Pembangunan Daerah Kabupaten Serang,79253ca9-709b-411e-8170-fdc8fc2c428e,Jumlah Laporan Kinerja,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-kinerja
e1302b40-0dc9-4ff8-8d16-5b518d7d3502,penduduk-mendapatkan-jaminan-kesehatan-masyarakat,penduduk mendapatkan Jaminan Kesehatan Masyarakat,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah penduduk mendapatkan Jaminan Kesehatan Masyarakat,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penduduk-mendapatkan-jaminan-kesehatan-masyarakat
2cc8afc6-6fe4-4c51-9163-bd03b878f99f,pemangku-kepentingan-dan-masyarakat-yang-mendapat-komunikasi-informasi-dan-edukasi,Pemangku Kepentingan dan Masyarakat yang mendapat Komunikasi Informasi dan Edukasi terkait Pendaftaran Penduduk,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Serang,f559badc-48d3-4d75-b573-43bb4b3ab540,Jumlah Pemangku Kepentingan dan Masyarakat yang mendapat Komunikasi Informasi dan Edukasi terkait Pendaftaran Penduduk,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/pemangku-kepentingan-dan-masyarakat-yang-mendapat-komunikasi-informasi-dan-edukasi
9a0be373-3afd-4b95-ab61-1904af9b409a,laporan-hasil-penyelenggaraan-sosialisasi-dan-diseminasi-hasil-hasil-kelitbangan,Laporan Hasil Penyelenggaraan Sosialisasi dan Diseminasi Hasil-Hasil Kelitbangan,Badan Perencanaan Pembangunan Daerah Kabupaten Serang,79253ca9-709b-411e-8170-fdc8fc2c428e,Jumlah Laporan Hasil Penyelenggaraan Sosialisasi dan Diseminasi Hasil-Hasil Kelitbangan,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/laporan-hasil-penyelenggaraan-sosialisasi-dan-diseminasi-hasil-hasil-kelitbangan
e0dd6ffd-a878-413d-8760-1c0627f6871a,penderita-tuberkulosis,penderita Tuberkulosis,Dinas Kesehatan Kabupaten Serang,7c1399a3-29e7-4ca6-b4ea-8ce821b099cc,Jumlah penderita Tuberkulosis,1,Open Data Commons Attribution License,2024-09-10,2024-09-10,https://opendata.serangkab.go.id/en_AU/dataset/penderita-tuberkulosis
