b,kode_kecamatan,kode_desa,kecamatan,desa,Hotel,Penginapan,Menara Telepon Seluler,Operator Layanan Komunikasi Telepon Seluler,,,,,,,,,,,,
83,36.04.12,36.04.12.2012,Pontang,Wanayasa,0,0,3,5,,,,,,,,,,,,
84,36.04.12,36.04.12.2013,Pontang,Suka Jaya,0,0,2,5,,,,,,,,,,,,
85,36.04.13,36.04.13.2001,Tirtayasa,Tirtayasa,0,0,2,6,,,,,,,,,,,,
86,36.04.13,36.04.13.2002,Tirtayasa,Samparwadi,0,0,0,6,,,,,,,,,,,,
87,36.04.13,36.04.13.2003,Tirtayasa,Kamanisan,0,0,0,6,,,,,,,,,,,,
88,36.04.13,36.04.13.2004,Tirtayasa,Pontang Legon,0,0,0,6,,,,,,,,,,,,
89,36.04.13,36.04.13.2005,Tirtayasa,Kebon,0,0,2,6,,,,,,,,,,,,
90,36.04.13,36.04.13.2006,Tirtayasa,Sujung,0,0,0,6,,,,,,,,,,,,
91,36.04.13,36.04.13.2007,Tirtayasa,Lontar,0,0,0,6,,,,,,,,,,,,
92,36.04.13,36.04.13.2008,Tirtayasa,Susukan,0,0,1,6,,,,,,,,,,,,
93,36.04.13,36.04.13.2009,Tirtayasa,Wargasara,0,18,1,3,,,,,,,,,,,,
94,36.04.13,36.04.13.2010,Tirtayasa,Laban,0,0,0,6,,,,,,,,,,,,
95,36.04.13,36.04.13.2011,Tirtayasa,Tengkurak,0,0,1,5,,,,,,,,,,,,
96,36.04.13,36.04.13.2012,Tirtayasa,Alang-alang,0,0,1,5,,,,,,,,,,,,
97,36.04.13,36.04.13.2013,Tirtayasa,Kebuyutan,0,0,1,6,,,,,,,,,,,,
98,36.04.13,36.04.13.2014,Tirtayasa,Puser,0,0,0,6,,,,,,,,,,,,
99,36.04.14,36.04.14.2001,Tanara,Tanara,0,0,1,5,,,,,,,,,,,,
100,36.04.14,36.04.14.2002,Tanara,Cerukcuk,0,0,0,4,,,,,,,,,,,,
101,36.04.14,36.04.14.2003,Tanara,Tenjoayu,0,0,1,4,,,,,,,,,,,,
102,36.04.14,36.04.14.2004,Tanara,Sukamanah,0,0,1,4,,,,,,,,,,,,
103,36.04.14,36.04.14.2005,Tanara,Lempuyang,0,0,1,3,,,,,,,,,,,,
104,36.04.14,36.04.14.2006,Tanara,Siremen,0,0,0,2,,,,,,,,,,,,
105,36.04.14,36.04.14.2007,Tanara,Bendung,0,0,0,4,,,,,,,,,,,,
106,36.04.14,36.04.14.2008,Tanara,Pedaleman,0,0,1,4,,,,,,,,,,,,
107,36.04.14,36.04.14.2009,Tanara,Cibodas,0,0,0,4,,,,,,,,,,,,
108,36.04.15,36.04.15.2001,Cikande,Cikande,0,0,3,6,,,,,,,,,,,,
109,36.04.15,36.04.15.2002,Cikande,Leuwi Limus,0,0,2,6,,,,,,,,,,,,
110,36.04.15,36.04.15.2003,Cikande,Nambo Udik,0,0,3,6,,,,,,,,,,,,
111,36.04.15,36.04.15.2004,Cikande,Parigi,0,0,3,6,,,,,,,,,,,,
112,36.04.15,36.04.15.2005,Cikande,Koper,0,0,1,5,,,,,,,,,,,,
113,36.04.15,36.04.15.2006,Cikande,Bakung,0,0,2,6,,,,,,,,,,,,
114,36.04.15,36.04.15.2007,Cikande,Julang,0,1,5,6,,,,,,,,,,,,
115,36.04.15,36.04.15.2008,Cikande,Sukatani,0,0,0,5,,,,,,,,,,,,
116,36.04.15,36.04.15.2009,Cikande,Situterate,0,0,1,6,,,,,,,,,,,,
117,36.04.15,36.04.15.2010,Cikande,Kamurang,0,0,0,5,,,,,,,,,,,,
118,36.04.15,36.04.15.2011,Cikande,Gembor Udik,0,0,2,5,,,,,,,,,,,,
119,36.04.15,36.04.15.2012,Cikande,Songgomjaya,0,0,0,5,,,,,,,,,,,,
120,36.04.15,36.04.15.2013,Cikande,Cikande Permai,0,0,2,6,,,,,,,,,,,,
121,36.04.16,36.04.16.2001,Kibin,Kibin,0,0,4,7,,,,,,,,,,,,
122,36.04.16,36.04.16.2002,Kibin,Ketos,0,0,1,7,,,,,,,,,,,,
123,36.04.16,36.04.16.2003,Kibin,Cijeruk,0,0,1,7,,,,,,,,,,,,
124,36.04.16,36.04.16.2004,Kibin,Nagara,0,0,2,7,,,,,,,,,,,,
125,36.04.16,36.04.16.2005,Kibin,Nambo Ilir,1,0,2,7,,,,,,,,,,,,
126,36.04.16,36.04.16.2006,Kibin,Barengkok,0,0,2,7,,,,,,,,,,,,
127,36.04.16,36.04.16.2007,Kibin,Sukamaju,0,0,2,7,,,,,,,,,,,,
128,36.04.16,36.04.16.2008,Kibin,Tambak,0,0,2,7,,,,,,,,,,,,
129,36.04.16,36.04.16.2009,Kibin,Ciagel,0,0,5,7,,,,,,,,,,,,
130,36.04.17,36.04.17.2001,Carenang,Carenang,0,0,2,2,,,,,,,,,,,,
131,36.04.17,36.04.17.2002,Carenang,Pamanuk,0,0,2,3,,,,,,,,,,,,
132,36.04.17,36.04.17.2003,Carenang,Mandaya,0,0,0,3,,,,,,,,,,,,
133,36.04.17,36.04.17.2004,Carenang,Teras,0,0,2,2,,,,,,,,,,,,
134,36.04.17,36.04.17.2006,Carenang,Ragasmasigit,0,0,0,4,,,,,,,,,,,,
135,36.04.17,36.04.17.2007,Carenang,Walikukun,0,0,0,3,,,,,,,,,,,,
136,36.04.17,36.04.17.2009,Carenang,Panenjoan,0,0,2,2,,,,,,,,,,,,
137,36.04.17,36.04.17.2010,Carenang,Mekarsari,0,0,0,3,,,,,,,,,,,,
138,36.04.18,36.04.18.2001,Binuang,Binuang,0,0,2,5,,,,,,,,,,,,
139,36.04.18,36.04.18.2002,Binuang,Cakung,0,0,0,5,,,,,,,,,,,,
140,36.04.18,36.04.18.2003,Binuang,Renged,0,0,0,5,,,,,,,,,,,,
141,36.04.18,36.04.18.2004,Binuang,Gembor,0,0,2,5,,,,,,,,,,,,
142,36.04.18,36.04.18.2005,Binuang,Warakas,0,0,0,5,,,,,,,,,,,,
143,36.04.18,36.04.18.2006,Binuang,Sukamampir,0,0,0,5,,,,,,,,,,,,
144,36.04.18,36.04.18.2007,Binuang,Lamaran,0,0,1,5,,,,,,,,,,,,
145,36.04.19,36.04.19.2001,Petir,Petir,0,0,3,4,,,,,,,,,,,,
146,36.04.19,36.04.19.2002,Petir,Cirangkong,0,0,1,4,,,,,,,,,,,,
147,36.04.19,36.04.19.2003,Petir,Tambiluk,0,0,0,5,,,,,,,,,,,,
148,36.04.19,36.04.19.2004,Petir,Sindangsari,0,0,1,3,,,,,,,,,,,,
149,36.04.19,36.04.19.2005,Petir,Padasuka,0,0,1,4,,,,,,,,,,,,
150,36.04.19,36.04.19.2006,Petir,Seuat,0,0,1,4,,,,,,,,,,,,
151,36.04.19,36.04.19.2007,Petir,Nagarapadang,0,0,3,3,,,,,,,,,,,,
152,36.04.19,36.04.19.2008,Petir,Kadugenep,0,0,1,3,,,,,,,,,,,,
153,36.04.19,36.04.19.2009,Petir,Cirendeu,0,0,0,4,,,,,,,,,,,,
154,36.04.19,36.04.19.2010,Petir,Sanding,0,0,1,4,,,,,,,,,,,,
155,36.04.19,36.04.19.2011,Petir,Kampung Baru,0,0,0,4,,,,,,,,,,,,
156,36.04.19,36.04.19.2012,Petir,Mekar Baru,0,0,3,5,,,,,,,,,,,,
157,36.04.19,36.04.19.2013,Petir,Seuat Jaya,0,0,0,3,,,,,,,,,,,,
158,36.04.19,36.04.19.2014,Petir,Kubang Jaya,0,0,0,4,,,,,,,,,,,,
159,36.04.19,36.04.19.2015,Petir,Bojong Nangka,0,0,1,3,,,,,,,,,,,,
160,36.04.20,36.04.20.2001,Tunjung Teja,Tanjung Teja,0,0,2,5,,,,,,,,,,,,
161,36.04.20,36.04.20.2002,Tunjung Teja,Sukasari,0,0,0,5,,,,,,,,,,,,
162,36.04.20,36.04.20.2003,Tunjung Teja,Panunggulan,0,0,0,5,,,,,,,,,,,,
163,36.04.20,36.04.20.2004,Tunjung Teja,Malanggah,0,0,0,5,,,,,,,,,,,,
164,36.04.20,36.04.20.2005,Tunjung Teja,Kemuning,0,0,0,5,,,,,,,,,,,,
165,36.04.20,36.04.20.2006,Tunjung Teja,Bojong Menteng,0,0,3,5,,,,,,,,,,,,
166,36.04.20,36.04.20.2007,Tunjung Teja,Bojong Catang,0,0,0,5,,,,,,,,,,,,
167,36.04.20,36.04.20.2008,Tunjung Teja,Bojong Pandan,0,0,0,5,,,,,,,,,,,,
168,36.04.20,36.04.20.2009,Tunjung Teja,Pancaregang,0,0,0,3,,,,,,,,,,,,
169,36.04.22,36.04.22.2001,Baros,Baros,0,0,3,5,,,,,,,,,,,,
170,36.04.22,36.04.22.2002,Baros,Tejamari,0,0,0,5,,,,,,,,,,,,
171,36.04.22,36.04.22.2003,Baros,Panyirapan,0,0,2,5,,,,,,,,,,,,
172,36.04.22,36.04.22.2004,Baros,Sidamukti,0,0,1,5,,,,,,,,,,,,
173,36.04.22,36.04.22.2005,Baros,Sukacai,0,0,0,5,,,,,,,,,,,,
174,36.04.22,36.04.22.2006,Baros,Tamansari,0,0,1,5,,,,,,,,,,,,
175,36.04.22,36.04.22.2007,Baros,Sindangmandi,0,0,0,5,,,,,,,,,,,,
176,36.04.22,36.04.22.2008,Baros,Cisalam,0,0,0,5,,,,,,,,,,,,
177,36.04.22,36.04.22.2009,Baros,Sukamanah,0,0,2,5,,,,,,,,,,,,
178,36.04.22,36.04.22.2010,Baros,Sukamenak,0,0,0,5,,,,,,,,,,,,
179,36.04.22,36.04.22.2011,Baros,Curugagung,0,0,1,5,,,,,,,,,,,,
180,36.04.22,36.04.22.2012,Baros,Padasuka,0,0,0,5,,,,,,,,,,,,
181,36.04.22,36.04.22.2013,Baros,Sinarmukti,0,0,1,5,,,,,,,,,,,,
